200 200
1 1 8.4
1 2 3.9
1 3 7.8
1 4 8.0
1 5 9.1
1 6 2.0
1 7 3.4
1 8 7.7
1 9 2.8
1 10 5.5
1 11 4.8
1 12 6.3
1 13 3.6
1 14 5.1
1 15 9.5
1 16 9.2
1 17 6.4
1 18 7.2
1 19 1.4
1 20 6.1
1 21 0.2
1 22 2.4
1 23 1.4
1 24 8.0
1 25 1.6
1 26 4.0
1 27 1.3
1 28 1.1
1 29 10.0
1 30 2.2
1 31 5.1
1 32 8.4
1 33 6.1
1 34 3.0
1 35 6.4
1 36 5.2
1 37 4.9
1 38 9.7
1 39 2.9
1 40 7.7
1 41 5.3
1 42 7.7
1 43 4.0
1 44 8.9
1 45 2.8
1 46 3.5
1 47 8.1
1 48 9.2
1 49 0.7
1 50 9.5
1 51 5.3
1 52 0.9
1 53 1.9
1 54 6.6
1 55 8.9
1 56 3.5
1 57 0.6
1 58 0.2
1 59 4.6
1 60 0.6
1 61 2.4
1 62 9.7
1 63 9.0
1 64 8.5
1 65 2.7
1 66 5.4
1 67 3.8
1 68 7.6
1 69 5.1
1 70 6.7
1 71 5.3
1 72 0.4
1 73 4.4
1 74 9.3
1 75 9.3
1 76 7.2
1 77 2.8
1 78 7.4
1 79 6.4
1 80 3.5
1 81 6.9
1 82 1.7
1 83 4.4
1 84 8.8
1 85 8.3
1 86 3.3
1 87 2.3
1 88 8.9
1 89 3.5
1 90 6.9
1 91 9.6
1 92 5.9
1 93 6.6
1 94 8.6
1 95 4.4
1 96 9.2
1 97 4.0
1 98 8.1
1 99 6.8
1 100 9.1
1 101 4.8
1 102 2.2
1 103 9.5
1 104 9.2
1 105 1.5
1 106 8.8
1 107 6.4
1 108 4.3
1 109 6.2
1 110 2.8
1 111 7.9
1 112 3.1
1 113 4.5
1 114 2.3
1 115 1.9
1 116 2.8
1 117 5.6
1 118 4.2
1 119 1.7
1 120 9.1
1 121 1.0
1 122 1.3
1 123 5.0
1 124 7.6
1 125 9.8
1 126 9.4
1 127 6.8
1 128 3.8
1 129 7.5
1 130 3.7
1 131 2.9
1 132 2.3
1 133 5.8
1 134 2.4
1 135 1.5
1 136 7.3
1 137 1.3
1 138 7.9
1 139 1.6
1 140 7.5
1 141 0.7
1 142 9.5
1 143 0.5
1 144 5.2
1 145 1.8
1 146 2.4
1 147 8.0
1 148 7.3
1 149 6.6
1 150 9.7
1 151 6.4
1 152 7.6
1 153 0.9
1 154 1.3
1 155 5.2
1 156 0.8
1 157 0.7
1 158 2.0
1 159 4.6
1 160 8.2
1 161 5.7
1 162 7.6
1 163 0.5
1 164 1.6
1 165 10.0
1 166 2.0
1 167 8.9
1 168 1.3
1 169 10.0
1 170 0.5
1 171 8.7
1 172 0.7
1 174 9.2
1 175 5.9
1 176 1.8
1 177 1.6
1 178 3.9
1 179 9.1
1 180 8.2
1 181 3.6
1 182 5.5
1 183 5.8
1 184 4.5
1 185 6.9
1 186 1.0
1 187 5.3
1 188 7.6
1 189 3.0
1 190 9.9
1 191 5.8
1 192 8.8
1 193 7.5
1 194 6.3
1 195 0.4
1 196 7.5
1 197 8.3
1 198 9.3
1 199 8.7
1 200 8.3
2 1 9.8
2 2 7.4
2 3 9.0
2 4 9.8
2 5 6.7
2 6 5.0
2 7 1.6
2 8 8.3
2 9 8.9
2 10 0.8
2 11 6.5
2 12 2.5
2 13 6.3
2 14 2.3
2 15 7.0
2 16 3.2
2 17 3.3
2 18 2.3
2 19 0.7
2 20 6.3
2 21 2.2
2 22 6.5
2 23 5.1
2 24 9.7
2 25 2.8
2 26 5.5
2 27 7.2
2 28 1.1
2 29 4.7
2 30 5.9
2 31 9.4
2 32 4.5
2 33 3.4
2 34 8.5
2 35 4.3
2 37 3.4
2 38 6.0
2 39 8.3
2 40 2.3
2 41 6.8
2 42 4.8
2 43 4.8
2 44 3.0
2 45 7.1
2 46 1.8
2 47 6.2
2 48 0.4
2 49 4.1
2 50 7.0
2 51 6.7
2 52 6.4
2 53 3.5
2 54 1.8
2 55 6.1
2 56 6.3
2 57 7.3
2 58 3.3
2 59 7.4
2 60 2.0
2 61 9.2
2 62 6.8
2 63 6.5
2 64 2.6
2 65 5.3
2 66 0.9
2 67 2.6
2 68 8.8
2 69 6.9
2 70 0.9
2 71 1.1
2 72 3.6
2 73 5.8
2 74 5.9
2 75 6.7
2 76 2.9
2 77 7.8
2 78 2.9
2 79 3.3
2 80 1.9
2 81 9.8
2 83 8.3
2 84 3.3
2 85 1.9
2 86 4.4
2 87 9.6
2 88 9.2
2 89 7.6
2 90 7.0
2 91 1.2
2 92 6.9
2 93 3.8
2 94 7.7
2 95 9.4
2 96 9.2
2 97 8.6
2 98 2.0
2 99 7.9
2 100 5.5
2 101 3.0
2 102 9.0
2 103 9.1
2 104 8.7
2 105 5.0
2 106 5.8
2 107 1.6
2 108 2.7
2 109 8.6
2 110 4.9
2 111 4.6
2 112 8.5
2 113 5.0
2 114 2.9
2 115 1.8
2 116 6.8
2 117 7.3
2 118 1.4
2 119 6.0
2 120 4.9
2 121 8.4
2 122 7.2
2 123 1.8
2 124 2.2
2 125 5.0
2 126 1.2
2 127 1.4
2 128 3.6
2 129 3.2
2 130 9.3
2 131 9.1
2 132 6.2
2 133 8.4
2 134 8.2
2 135 5.0
2 136 3.3
2 137 3.9
2 138 6.6
2 139 6.1
2 140 2.6
2 141 1.5
2 142 0.7
2 143 1.1
2 144 6.5
2 145 3.6
2 146 2.9
2 147 3.3
2 148 0.9
2 149 4.3
2 150 9.3
2 151 5.8
2 152 2.7
2 153 6.6
2 154 7.6
2 155 4.9
2 156 1.6
2 157 8.8
2 158 6.3
2 159 5.2
2 160 2.1
2 161 5.6
2 162 4.3
2 163 8.3
2 164 3.9
2 165 2.4
2 166 3.3
2 167 7.3
2 168 6.4
2 169 9.8
2 170 3.4
2 171 9.0
2 172 1.4
2 173 4.1
2 175 7.8
2 176 7.7
2 177 2.9
2 178 1.1
2 179 8.7
2 180 7.2
2 181 0.5
2 182 4.5
2 183 9.9
2 184 7.1
2 185 2.1
2 186 4.7
2 187 8.7
2 188 0.9
2 189 1.0
2 190 3.8
2 191 3.0
2 192 6.6
2 193 8.1
2 194 1.3
2 195 0.5
2 196 0.5
2 197 4.6
2 198 7.8
2 199 6.9
2 200 4.4
3 1 1.2
3 2 5.9
3 3 5.8
3 4 5.3
3 5 6.0
3 6 3.6
3 7 3.0
3 8 8.9
3 9 4.8
3 10 1.7
3 11 6.1
3 12 5.3
3 13 6.2
3 14 6.0
3 15 2.3
3 16 8.3
3 17 0.7
3 18 1.0
3 19 9.2
3 20 1.7
3 21 4.8
3 22 2.3
3 23 8.3
3 24 2.9
3 25 3.6
3 26 8.8
3 27 3.4
3 28 8.1
3 29 6.6
3 30 0.4
3 31 2.6
3 32 7.8
3 33 6.3
3 34 8.4
3 35 3.1
3 36 2.2
3 37 2.0
3 38 6.1
3 39 1.1
3 40 6.7
3 41 7.8
3 42 7.2
3 43 2.0
3 44 4.0
3 45 3.2
3 46 4.3
3 47 2.3
3 48 3.9
3 49 5.3
3 50 1.5
3 51 5.6
3 52 0.1
3 53 3.8
3 54 3.8
3 55 3.1
3 56 7.4
3 57 2.6
3 58 6.5
3 59 5.5
3 60 9.2
3 61 6.9
3 62 8.1
3 63 7.0
3 64 3.1
3 65 6.5
3 67 5.3
3 68 8.4
3 69 6.2
3 70 6.4
3 71 5.2
3 72 4.0
3 73 3.6
3 74 7.2
3 75 8.0
3 76 6.8
3 77 1.5
3 78 0.3
3 79 0.6
3 80 6.9
3 81 1.9
3 82 6.2
3 83 7.0
3 84 5.7
3 87 3.1
3 88 2.6
3 89 6.6
3 90 8.6
3 91 1.8
3 92 3.4
3 93 6.7
3 94 8.8
3 95 6.5
3 96 3.1
3 97 8.9
3 98 1.9
3 99 1.6
3 100 5.0
3 101 8.3
3 102 6.8
3 103 9.0
3 104 1.9
3 105 3.9
3 106 7.1
3 107 8.7
3 108 5.5
3 109 7.4
3 110 9.3
3 111 2.3
3 112 9.3
3 113 5.5
3 114 9.3
3 115 4.9
3 116 5.5
3 117 9.4
3 118 8.0
3 119 8.1
3 120 5.9
3 121 6.6
3 122 10.0
3 123 9.4
3 124 3.2
3 125 8.7
3 126 5.9
3 127 6.4
3 128 7.6
3 129 7.8
3 130 7.9
3 131 2.6
3 132 6.0
3 133 4.7
3 134 1.7
3 135 8.0
3 136 8.7
3 137 8.7
3 138 6.6
3 139 4.1
3 140 6.1
3 141 6.0
3 142 6.5
3 143 5.4
3 144 1.5
3 145 5.8
3 146 0.3
3 147 7.0
3 148 5.2
3 149 8.3
3 150 5.2
3 151 1.1
3 152 4.9
3 153 5.1
3 154 0.5
3 155 8.1
3 156 3.8
3 157 6.4
3 158 4.5
3 159 1.4
3 160 4.1
3 161 2.5
3 162 4.1
3 163 0.2
3 164 7.2
3 165 5.7
3 166 8.1
3 167 5.8
3 168 4.5
3 169 4.8
3 170 10.0
3 171 0.6
3 172 0.7
3 173 6.4
3 174 6.0
3 175 2.2
3 176 2.2
3 177 6.3
3 178 9.2
3 179 7.4
3 180 4.6
3 181 4.4
3 182 8.5
3 183 9.5
3 184 9.5
3 185 9.0
3 186 7.7
3 187 3.3
3 188 5.4
3 189 2.2
3 190 4.8
3 191 9.5
3 192 4.7
3 193 8.8
3 194 9.7
3 195 1.8
3 196 4.6
3 197 7.8
3 198 7.7
3 199 9.0
3 200 2.6
4 1 7.6
4 2 9.6
4 3 3.3
4 4 4.0
4 5 5.6
4 6 5.5
4 7 6.2
4 8 1.9
4 9 4.8
4 10 3.6
4 11 6.5
4 12 9.2
4 13 2.1
4 14 6.1
4 15 8.7
4 16 1.1
4 17 3.7
4 18 2.0
4 19 6.5
4 20 5.9
4 21 6.8
4 22 6.0
4 23 0.6
4 24 5.6
4 25 5.6
4 26 2.4
4 27 0.2
4 28 3.4
4 30 9.2
4 31 6.0
4 32 7.7
4 33 8.9
4 34 9.3
4 35 1.7
4 36 4.5
4 37 4.9
4 38 8.0
4 39 6.4
4 40 9.7
4 41 1.6
4 42 2.9
4 43 8.8
4 44 3.7
4 45 9.0
4 46 7.5
4 47 4.8
4 48 2.7
4 49 9.5
4 50 1.2
4 51 8.7
4 52 6.2
4 53 7.2
4 54 9.2
4 55 1.8
4 56 2.8
4 57 1.7
4 58 2.0
4 59 6.3
4 60 1.8
4 61 1.3
4 62 2.3
4 63 9.5
4 64 0.1
4 65 1.6
4 66 1.2
4 67 4.6
4 68 6.5
4 69 9.2
4 70 1.0
4 71 6.1
4 72 0.7
4 73 3.9
4 74 5.0
4 75 4.4
4 76 2.9
4 77 2.4
4 78 9.1
4 79 5.7
4 80 1.9
4 81 0.3
4 82 4.3
4 83 8.1
4 84 7.5
4 85 3.6
4 86 10.0
4 87 0.4
4 88 5.2
4 89 2.0
4 90 6.6
4 91 7.0
4 92 3.3
4 93 8.9
4 94 6.5
4 95 3.4
4 96 0.5
4 97 7.7
4 98 8.0
4 99 7.0
4 100 6.8
4 101 9.0
4 102 3.1
4 103 7.5
4 104 3.0
4 105 8.1
4 106 1.9
4 107 5.9
4 108 0.5
4 109 1.0
4 110 1.6
4 111 2.4
4 112 1.4
4 113 5.9
4 114 0.6
4 115 8.9
4 116 9.5
4 117 0.6
4 118 9.3
4 119 4.7
4 120 2.6
4 121 5.9
4 122 1.7
4 123 5.8
4 124 4.8
4 125 8.2
4 126 9.3
4 127 5.3
4 128 5.8
4 129 7.3
4 130 2.3
4 131 2.6
4 132 6.3
4 133 5.4
4 134 0.2
4 135 9.3
4 136 3.5
4 137 2.1
4 138 5.2
