600 600
1 1 9.1
1 2 9.7
1 3 0.9
1 4 7.6
1 5 8.5
1 6 4.2
1 7 4.0
1 8 7.3
1 9 9.0
1 10 3.5
1 11 1.8
1 12 1.0
1 13 0.2
1 14 1.2
1 15 6.7
1 16 6.2
1 17 1.0
1 18 7.3
1 19 1.7
1 20 5.7
1 21 6.3
1 22 2.6
1 23 7.3
1 24 9.8
1 25 5.7
1 26 4.2
1 27 6.8
1 28 4.6
1 29 3.8
1 30 6.7
1 31 6.4
1 32 2.9
1 33 6.4
1 34 7.2
1 35 0.5
1 36 4.9
1 37 1.4
1 38 4.6
1 39 2.2
1 40 0.5
1 41 8.1
1 42 4.0
1 43 1.4
1 44 8.3
1 45 5.2
1 46 8.2
1 47 4.5
1 48 6.2
1 49 5.5
1 50 6.2
1 51 1.9
1 52 1.8
1 53 8.8
1 54 9.1
1 55 1.5
1 56 4.5
1 57 3.3
1 58 8.4
1 59 9.2
1 60 7.2
1 61 5.1
1 62 5.5
1 64 1.5
1 65 2.8
1 66 0.6
1 67 6.4
1 68 4.2
1 69 5.2
1 70 8.7
1 71 4.7
1 72 3.3
1 73 2.7
1 74 6.1
1 75 1.6
1 76 7.8
1 77 4.3
1 78 6.0
1 79 4.0
1 80 9.8
1 81 2.2
1 82 5.9
1 83 1.5
1 84 1.1
1 85 5.1
1 86 3.1
1 87 5.6
1 88 8.4
1 89 1.4
1 90 4.8
1 91 5.6
1 92 6.5
1 93 0.3
1 94 5.7
1 95 8.0
1 96 3.1
1 97 6.3
1 98 4.5
1 99 7.3
1 100 1.5
1 101 3.1
1 102 2.0
1 103 4.8
1 104 5.8
1 105 8.1
1 106 6.3
1 107 3.6
1 108 2.4
1 109 2.3
1 110 7.7
1 111 2.2
1 112 4.6
1 113 3.6
1 114 3.7
1 115 5.6
1 116 8.6
1 117 6.8
1 118 1.2
1 119 7.0
1 120 8.2
1 121 6.0
1 122 2.6
1 123 4.7
1 124 6.3
1 125 8.3
1 126 2.8
1 127 9.4
1 128 4.5
1 129 7.3
1 130 6.7
1 131 6.0
1 132 0.4
1 133 8.7
1 134 0.8
1 135 6.2
1 136 6.8
1 137 7.1
1 138 9.8
1 139 9.2
1 140 9.4
1 141 7.5
1 142 1.4
1 143 4.0
1 144 1.1
1 145 5.1
1 146 9.6
1 147 9.7
1 148 1.9
1 149 0.9
1 150 6.8
1 152 6.9
1 153 9.4
1 154 4.8
1 155 3.2
1 156 7.6
1 157 7.6
1 158 2.7
1 159 2.1
1 160 4.9
1 161 9.4
1 162 8.1
1 163 5.3
1 164 8.1
1 165 8.9
1 166 1.5
1 167 5.0
1 168 6.0
1 169 1.3
1 170 4.2
1 171 5.4
1 172 8.8
1 173 5.6
1 174 9.4
1 175 9.9
1 176 0.7
1 177 9.0
1 178 9.6
1 179 2.5
1 180 9.9
1 181 6.3
1 182 2.6
1 183 6.8
1 184 5.7
1 185 7.4
1 187 3.3
1 188 5.1
1 189 2.7
1 190 5.4
1 191 10.0
1 192 2.1
1 193 3.6
1 194 5.3
1 195 0.2
1 196 2.5
1 197 6.7
1 198 5.1
1 199 8.4
1 200 8.0
1 201 9.3
1 202 3.8
1 203 6.8
1 204 4.9
1 205 3.2
1 206 6.7
1 207 5.6
1 208 2.2
1 209 6.3
1 210 8.1
1 211 2.0
1 212 2.6
1 213 0.7
1 214 8.8
1 215 8.3
1 216 8.2
1 217 8.8
1 218 1.6
1 219 3.2
1 220 1.5
1 221 7.0
1 222 3.2
1 223 3.5
1 224 0.6
1 225 8.4
1 226 3.7
1 227 3.0
1 228 5.2
1 229 8.9
1 230 1.5
1 231 3.2
1 232 8.2
1 233 5.3
1 235 3.1
1 236 8.5
1 237 6.7
1 238 8.6
1 239 0.6
1 240 3.0
1 241 6.7
1 242 2.6
1 243 5.6
1 244 7.4
1 245 1.4
1 246 3.8
1 247 5.6
1 248 0.2
1 249 5.4
1 250 8.8
1 251 1.7
1 252 2.4
1 253 2.0
1 254 5.2
1 255 2.9
1 256 0.4
1 257 8.9
1 258 6.0
1 259 5.6
1 260 7.8
1 261 7.4
1 262 8.9
1 263 6.0
1 264 2.7
1 265 8.9
1 266 9.1
1 267 1.2
1 268 5.7
