400 400
1 1 10432.900000
1 2 9861.670000
1 3 10212.550000
1 4 10284.080000
1 5 10002.350000
1 6 10419.100000
1 7 10176.390000
1 8 10059.650000
1 9 9719.780000
1 10 10297.510000
1 11 9883.560000
1 12 10383.720000
1 13 10073.580000
1 14 10069.680000
1 15 10602.160000
1 16 10318.480000
1 17 10173.870000
1 18 9646.970000
1 19 9701.110000
1 20 10764.700000
1 21 10564.040000
1 22 10130.580000
1 23 10242.480000
1 24 10198.970000
1 25 10803.940000
1 26 10007.870000
1 27 10551.810000
1 28 10706.380000
1 29 9786.380000
1 30 10797.620000
1 31 10467.090000
1 32 10959.140000
1 33 10068.760000
1 34 10448.240000
1 35 10077.410000
1 36 10020.170000
1 37 10459.910000
1 38 9753.680000
1 39 10572.350000
1 40 10053.730000
1 41 10431.130000
1 42 9880.160000
1 43 10808.840000
1 44 10636.480000
1 45 9962.580000
1 46 10489.890000
1 47 9928.610000
1 48 9358.500000
1 49 10267.240000
1 50 9972.610000
1 51 10266.270000
1 52 10350.600000
1 53 11020.240000
1 54 9694.110000
1 55 10832.330000
1 56 9767.330000
1 57 10265.450000
1 58 9913.030000
1 59 9545.290000
1 60 10494.290000
1 61 10673.120000
1 62 9655.310000
1 63 10693.390000
1 64 9767.850000
1 65 10775.000000
1 66 10502.860000
1 67 10881.160000
1 68 10432.770000
1 69 9836.470000
1 70 10178.370000
1 71 9590.350000
1 72 10762.080000
1 73 9873.360000
1 74 9986.470000
1 75 10727.710000
1 76 10175.430000
1 77 10533.620000
1 78 10274.380000
1 79 10201.480000
1 80 10354.820000
1 81 10041.140000
1 82 10882.530000
1 83 10059.880000
1 84 10834.220000
1 85 10139.740000
1 86 9831.720000
1 87 10346.280000
1 88 10333.100000
1 89 10535.420000
1 90 10128.060000
1 91 10593.390000
1 92 10402.060000
1 93 10725.580000
1 94 9951.060000
1 95 10121.160000
1 96 10755.540000
1 97 10420.510000
1 98 10884.880000
1 99 10706.680000
1 100 10679.500000
1 101 10219.030000
1 102 10190.240000
1 103 10656.900000
1 104 10877.930000
1 105 10531.070000
1 106 10409.140000
1 107 9998.250000
1 108 10788.690000
1 109 10650.440000
1 110 9916.690000
1 111 10099.660000
1 112 10434.270000
1 113 10305.820000
1 114 10537.450000
1 115 9559.790000
1 116 10105.860000
1 117 11124.010000
1 118 10555.810000
1 119 10457.170000
1 120 10078.180000
1 121 10078.000000
1 122 10568.760000
1 123 10558.660000
1 124 10374.080000
1 125 10476.120000
1 126 10588.650000
1 127 10466.710000
1 128 9833.100000
1 129 9860.900000
1 130 9811.910000
1 131 9970.360000
1 132 10692.870000
1 133 10062.730000
1 134 10444.510000
1 135 10206.980000
1 136 9881.970000
1 137 9762.330000
1 138 10463.540000
1 139 10474.120000
1 140 10695.580000
1 141 10729.950000
1 142 10655.140000
1 143 10525.080000
1 144 10980.740000
1 145 10238.640000
1 146 10031.790000
1 147 10235.560000
1 148 10112.430000
1 149 9690.720000
1 150 10565.960000
1 151 10461.790000
1 152 10191.690000
1 153 10194.940000
1 154 10138.010000
1 155 10212.660000
1 156 9935.120000
1 157 10374.030000
1 158 9845.850000
1 159 10507.190000
1 160 10470.600000
1 161 10475.020000
1 162 11135.430000
1 163 10480.710000
1 164 10157.200000
1 165 10827.050000
1 166 9504.290000
1 167 10467.820000
1 168 10307.750000
1 169 10367.430000
1 170 10210.350000
1 171 10587.400000
1 172 10370.940000
1 173 10096.240000
1 174 10708.100000
1 175 10619.280000
1 176 10501.700000
1 177 10233.520000
1 178 10704.290000
1 179 9855.010000
1 180 10984.660000
1 181 10935.050000
1 182 10151.030000
1 183 10450.570000
1 184 10478.800000
1 185 10487.490000
1 186 10743.830000
1 187 10583.420000
1 188 10321.010000
1 189 10561.680000
1 190 11024.890000
1 191 10385.090000
1 192 10467.890000
1 193 9497.140000
1 194 10150.080000
1 195 10673.150000
1 196 9975.320000
1 197 9828.730000
1 198 10436.750000
1 199 10119.910000
1 200 10419.470000
1 201 10163.720000
1 202 10255.140000
1 203 10243.790000
1 204 10265.030000
1 205 10931.270000
1 206 10289.180000
1 207 10028.440000
1 208 10369.670000
1 209 9933.670000
1 210 10822.130000
1 211 10509.370000
1 212 10379.430000
1 213 10092.160000
1 214 10402.380000
1 215 10327.260000
1 216 9308.120000
1 217 10167.190000
1 218 10500.840000
1 219 9994.720000
1 220 10006.320000
1 221 10435.140000
1 222 9644.390000
1 223 10023.110000
1 224 10867.490000
1 225 10259.830000
1 226 10283.610000
1 227 9887.870000
1 228 10239.590000
1 229 10021.350000
1 230 10572.920000
1 231 10232.930000
1 232 10478.420000
1 233 10395.360000
1 234 9804.300000
1 235 9917.990000
1 236 9862.110000
1 237 10141.980000
1 238 10596.690000
1 239 10058.460000
1 240 10382.220000
1 241 10276.370000
1 242 10470.280000
1 243 10215.540000
1 244 10433.870000
1 245 10051.790000
1 246 10380.800000
1 247 9898.650000
1 248 10061.450000
1 249 10573.320000
1 250 10522.420000
1 251 10089.690000
1 252 9960.730000
1 253 10339.240000
1 254 10707.940000
1 255 10543.820000
1 256 9940.950000
1 257 10750.360000
1 258 10498.580000
1 259 9861.240000
1 260 10525.490000
1 261 10446.560000
1 262 10449.180000
1 263 9748.910000
1 264 10958.220000
1 265 10620.010000
1 266 10458.490000
1 267 10797.890000
1 268 10120.580000
1 269 10497.460000
1 270 10184.440000
1 271 10688.990000
1 272 10049.030000
1 273 10100.900000
1 274 10154.270000
1 275 10490.370000
1 276 10128.680000
1 277 10141.340000
1 278 10535.010000
1 279 10787.380000
1 280 9893.360000
1 281 9531.330000
1 282 10121.310000
1 283 10795.240000
1 284 10722.420000
1 285 10353.550000
1 286 10155.150000
1 287 10116.970000
1 288 10657.780000
1 289 10335.530000
1 290 10680.150000
1 291 9339.120000
1 292 9876.470000
1 293 10299.930000
1 294 10274.330000
1 295 10170.780000
1 296 10332.340000
1 297 10695.730000
1 298 10371.590000
1 299 10203.710000
1 300 10037.670000
1 301 10477.400000
1 302 10440.800000
1 303 10122.410000
1 304 10418.210000
1 305 9588.480000
1 306 10669.480000
1 307 10389.510000
1 308 10372.660000
1 309 10360.660000
1 310 10431.880000
1 311 10069.940000
1 312 10590.730000
1 313 10238.200000
1 314 10384.250000
1 315 10175.240000
1 316 10597.390000
1 317 10184.780000
1 318 9701.940000
1 319 10539.740000
1 320 9709.480000
1 321 10516.750000
1 322 10355.800000
1 323 9966.300000
1 324 10364.030000
1 325 10092.930000
1 326 10977.890000
1 327 10287.700000
1 328 11102.570000
1 329 10134.990000
1 330 9755.530000
1 331 10417.450000
1 332 10188.770000
1 333 10306.170000
1 334 9977.010000
1 335 9907.310000
1 336 10711.200000
1 337 10607.960000
1 338 10426.780000
1 339 10064.860000
1 340 9809.430000
1 341 10422.890000
1 342 10676.100000
1 343 10386.000000
1 344 10387.270000
1 345 10265.420000
1 346 10486.170000
1 347 10594.030000
1 348 10456.400000
1 349 9854.440000
1 350 9988.270000
1 351 10773.060000
1 352 10599.090000
1 353 9855.570000
1 354 9794.990000
1 355 10687.950000
1 356 10357.920000
1 357 9491.440000
1 358 10201.160000
1 359 10563.920000
1 360 9894.330000
1 361 10192.700000
1 362 10635.150000
1 363 10020.960000
1 364 9941.730000
1 365 10230.760000
1 366 10926.450000
1 367 10269.490000
1 368 10423.460000
1 369 10784.070000
1 370 10870.970000
1 371 10550.270000
1 372 10754.680000
1 373 10595.110000
1 374 10926.220000
1 375 10670.050000
1 376 10478.950000
1 377 10249.070000
1 378 10623.580000
1 379 10529.010000
1 380 10883.580000
1 381 10691.570000
1 382 9992.490000
1 383 10074.420000
1 384 10577.830000
1 385 9842.080000
1 386 10397.860000
1 387 11108.280000
1 388 10243.200000
1 389 10802.720000
1 390 11110.520000
1 391 10441.390000
1 392 10433.340000
1 393 10081.470000
1 394 11010.620000
1 395 10400.480000
1 396 10039.410000
1 397 9785.200000
1 398 10334.530000
1 399 10615.170000
1 400 10559.160000
2 1 10347.270000
2 2 9505.590000
2 3 10007.640000
2 4 10333.720000
2 5 9995.180000
2 6 10276.350000
2 7 9671.400000
2 8 10167.830000
2 9 9433.150000
2 10 10086.040000
2 11 9892.530000
2 12 10056.730000
2 13 10305.690000
2 14 10148.640000
2 15 10783.970000
2 16 10648.770000
2 17 9997.200000
2 18 9961.020000
2 19 9415.420000
2 20 10586.540000
2 21 10185.210000
2 22 10203.010000
2 23 10189.580000
2 24 9949.280000
2 25 10597.540000
2 26 10316.230000
2 27 10170.470000
2 28 10038.510000
2 29 9719.630000
2 30 10417.430000
2 31 10037.560000
2 32 10681.150000
2 33 10024.090000
2 34 10159.820000
2 35 9911.140000
2 36 9879.210000
2 37 9773.190000
2 38 9686.940000
2 39 10354.190000
2 40 9887.860000
2 41 10132.420000
2 42 9833.380000
2 43 10647.170000
2 44 10414.020000
2 45 9870.190000
2 46 10621.920000
2 47 9750.220000
2 48 9510.000000
2 49 10610.630000
2 50 10193.740000
2 51 9794.900000
2 52 10126.030000
2 53 10813.630000
2 54 9891.250000
2 55 10655.040000
2 56 9805.320000
2 57 10302.920000
2 58 9516.050000
2 59 9852.910000
2 60 10176.750000
2 61 10551.560000
2 62 9757.770000
2 63 10633.200000
2 64 9765.380000
2 65 10652.870000
2 66 10246.360000
2 67 10525.690000
2 68 10313.320000
2 69 9573.580000
2 70 10165.210000
2 71 9408.860000
2 72 10738.950000
2 73 9982.870000
2 74 9955.750000
2 75 10514.730000
2 76 10046.700000
2 77 10716.260000
2 78 10440.980000
2 79 10179.510000
2 80 10066.300000
2 81 10111.010000
2 82 10552.550000
2 83 10216.620000
2 84 10340.540000
2 85 9873.510000
2 86 9937.460000
2 87 9964.150000
2 88 10589.040000
2 89 10120.050000
2 90 9885.370000
2 91 10357.530000
2 92 10230.870000
2 93 10480.050000
2 94 9464.600000
2 95 9984.140000
2 96 10658.980000
2 97 10256.290000
2 98 10589.220000
2 99 10531.550000
2 100 10617.750000
2 101 10390.810000
2 102 10160.800000
2 103 10106.490000
2 104 10323.440000
2 105 10433.370000
2 106 10029.800000
2 107 10069.150000
2 108 10115.430000
2 109 10538.950000
2 110 9861.640000
2 111 9773.560000
2 112 10340.550000
2 113 10045.830000
2 114 10517.640000
2 115 9606.730000
2 116 9945.730000
2 117 10859.190000
2 118 10394.330000
2 119 10372.350000
2 120 9981.480000
2 121 9873.520000
2 122 10555.230000
2 123 10255.510000
2 124 10001.150000
2 125 10184.580000
2 126 10282.180000
2 127 10328.660000
2 128 9849.470000
2 129 10008.950000
2 130 10060.370000
2 131 9918.000000
2 132 10494.290000
2 133 9802.790000
2 134 10247.950000
2 135 10386.890000
2 136 9673.510000
2 137 9832.040000
2 138 10042.500000
2 139 9893.070000
2 140 10634.860000
2 141 10672.620000
2 142 10027.230000
2 143 10238.060000
2 144 10682.930000
2 145 9781.150000
2 146 9848.840000
2 147 10485.380000
2 148 10133.530000
2 149 9713.840000
2 150 10199.890000
2 151 10064.780000
2 152 10249.740000
2 153 10241.340000
2 154 9906.810000
2 155 10191.960000
2 156 9852.670000
2 157 10447.580000
2 158 10103.070000
2 159 10140.270000
2 160 10587.220000
2 161 10470.240000
2 162 10714.970000
2 163 10400.640000
2 164 10152.940000
2 165 10492.060000
2 166 9727.570000
2 167 10135.040000
2 168 10215.430000
2 169 9671.540000
2 170 10119.940000
2 171 10775.510000
2 172 10122.190000
2 173 10131.340000
2 174 10534.970000
2 175 10248.620000
2 176 10111.900000
2 177 10128.000000
2 178 10619.130000
2 179 9786.660000
2 180 10465.850000
2 181 10617.350000
2 182 10208.730000
2 183 10339.610000
2 184 10682.410000
2 185 10265.260000
2 186 10512.610000
2 187 10652.260000
2 188 10166.570000
2 189 10382.250000
2 190 10523.390000
2 191 10186.440000
2 192 10415.830000
2 193 9522.720000
2 194 9683.240000
2 195 10293.910000
2 196 9894.750000
2 197 9747.970000
2 198 10482.310000
2 199 10228.860000
2 200 10230.280000
2 201 9876.350000
2 202 10027.630000
2 203 10004.710000
2 204 10292.090000
2 205 10363.420000
2 206 10341.040000
2 207 10203.680000
2 208 10300.230000
2 209 10156.630000
2 210 10351.430000
2 211 10329.830000
2 212 10307.320000
2 213 9907.070000
2 214 10191.840000
2 215 10194.200000
2 216 9208.160000
2 217 10096.540000
2 218 10364.310000
2 219 9915.610000
2 220 10311.770000
2 221 9979.960000
2 222 9495.340000
2 223 10145.330000
2 224 10510.900000
2 225 9959.760000
2 226 10635.000000
2 227 9693.070000
2 228 10493.910000
2 229 9851.460000
2 230 10773.260000
2 231 10210.610000
2 232 10407.580000
2 233 10747.120000
2 234 9148.020000
2 235 9978.600000
2 236 9651.530000
2 237 9922.100000
2 238 10530.770000
2 239 9714.400000
2 240 10191.650000
2 241 9916.780000
2 242 10704.610000
2 243 10666.080000
2 244 10261.340000
2 245 10212.120000
2 246 10182.010000
2 247 9754.490000
2 248 10120.060000
2 249 10012.740000
2 250 9690.500000
2 251 10411.390000
2 252 9454.570000
2 253 10280.830000
2 254 10221.220000
2 255 10559.030000
2 256 10123.760000
2 257 10635.210000
2 258 10233.120000
2 259 10178.700000
2 260 10180.380000
2 261 10402.840000
2 262 10362.830000
2 263 9804.800000
2 264 10666.920000
2 265 10876.100000
2 266 10517.930000
2 267 10745.070000
2 268 10040.190000
2 269 10184.180000
2 270 9910.070000
2 271 10730.950000
2 272 10131.600000
2 273 10036.020000
2 274 10080.660000
2 275 10592.160000
2 276 10021.750000
2 277 10100.590000
2 278 10282.980000
2 279 10492.590000
2 280 9769.510000
2 281 9523.190000
2 282 10076.900000
2 283 10668.030000
2 284 10382.250000
2 285 10187.480000
2 286 10115.090000
2 287 9808.940000
2 288 10548.660000
2 289 9943.650000
2 290 10623.550000
2 291 9555.060000
2 292 9898.270000
2 293 10603.440000
2 294 9942.290000
2 295 9822.860000
2 296 10180.810000
2 297 10464.380000
2 298 10619.430000
2 299 10354.300000
2 300 9740.680000
2 301 10221.950000
2 302 10133.470000
2 303 9918.120000
2 304 10247.430000
2 305 9457.020000
2 306 10653.350000
2 307 9952.890000
2 308 10097.480000
2 309 10093.880000
2 310 10075.500000
2 311 10058.310000
2 312 10768.060000
2 313 9995.100000
2 314 10085.500000
2 315 10118.630000
2 316 10379.980000
2 317 9799.950000
2 318 9948.780000
2 319 10394.970000
2 320 9695.350000
2 321 10422.000000
2 322 10523.910000
2 323 10060.640000
2 324 10607.780000
2 325 9919.580000
2 326 11186.540000
2 327 10427.970000
2 328 10862.150000
2 329 9724.060000
2 330 9391.330000
2 331 10437.120000
2 332 10008.550000
2 333 10191.540000
2 334 9950.880000
2 335 9715.120000
2 336 10286.900000
2 337 10545.310000
2 338 10334.990000
2 339 9976.740000
2 340 9761.760000
2 341 10702.720000
2 342 10623.140000
2 343 10620.320000
2 344 9750.190000
2 345 10081.800000
2 346 10127.110000
2 347 10370.030000
2 348 10253.600000
2 349 9937.770000
2 350 10391.000000
2 351 10606.510000
2 352 10443.950000
2 353 10076.350000
2 354 9908.210000
2 355 10271.590000
2 356 10141.220000
2 357 9673.780000
2 358 10237.700000
2 359 10362.510000
2 360 9602.500000
2 361 10120.490000
2 362 10266.560000
2 363 10040.340000
2 364 9765.190000
2 365 9955.950000
2 366 10759.240000
2 367 10215.400000
2 368 10310.650000
2 369 10881.920000
2 370 10433.710000
2 371 10423.570000
2 372 10464.860000
2 373 10258.060000
2 374 11009.280000
2 375 10370.340000
2 376 10291.730000
2 377 9925.450000
2 378 10809.010000
2 379 10034.830000
2 380 10352.080000
2 381 10679.700000
2 382 9523.920000
2 383 9888.290000
2 384 10318.500000
2 385 10208.680000
2 386 10553.420000
2 387 10876.380000
2 388 9781.250000
2 389 10629.170000
2 390 10432.960000
2 391 10222.740000
2 392 10147.890000
2 393 9778.150000
2 394 10644.480000
2 395 10395.410000
2 396 9852.600000
2 397 9845.390000
2 398 10263.940000
2 399 10573.200000
2 400 10295.920000
3 1 9718.180000
3 2 9352.420000
3 3 9637.310000
3 4 10003.390000
3 5 9487.100000
3 6 9677.540000
3 7 9469.100000
3 8 9538.980000
3 9 9067.110000
3 10 9828.480000
3 11 9348.630000
3 12 9784.170000
3 13 9644.470000
3 14 9674.100000
3 15 10017.250000
3 16 10142.840000
3 17 10023.250000
3 18 9526.980000
3 19 9006.740000
3 20 10287.970000
3 21 9921.840000
3 22 9611.300000
3 23 9876.590000
3 24 9555.440000
3 25 10305.880000
3 26 9402.060000
3 27 9738.600000
3 28 10121.220000
3 29 9356.080000
3 30 9888.170000
3 31 10106.660000
3 32 10259.730000
3 33 9298.180000
3 34 9636.630000
3 35 9634.040000
3 36 9097.780000
3 37 9606.570000
3 38 9139.270000
3 39 9717.950000
3 40 9571.100000
3 41 9687.840000
3 42 9497.250000
3 43 10233.970000
3 44 9958.320000
3 45 9718.320000
3 46 9905.960000
3 47 9010.420000
3 48 9186.910000
3 49 10086.330000
3 50 9849.480000
3 51 9700.460000
3 52 9704.660000
3 53 10597.350000
3 54 9543.430000
3 55 10002.500000
3 56 9254.160000
3 57 9877.440000
3 58 9488.560000
3 59 9255.570000
3 60 9932.670000
3 61 10121.150000
3 62 9375.760000
3 63 10183.530000
3 64 9751.130000
3 65 10394.030000
3 66 10262.510000
3 67 10092.420000
3 68 10016.830000
3 69 9291.040000
3 70 9703.360000
3 71 9252.260000
3 72 9863.480000
3 73 9638.760000
3 74 9781.500000
3 75 10129.610000
3 76 9948.030000
3 77 10017.470000
3 78 10309.710000
3 79 10033.170000
3 80 10087.270000
3 81 9369.890000
3 82 10201.500000
3 83 9562.250000
3 84 10197.830000
3 85 9729.330000
3 86 9315.930000
3 87 9746.910000
3 88 9512.630000
3 89 9690.580000
3 90 9832.350000
3 91 9883.740000
3 92 9996.680000
3 93 9579.930000
3 94 9290.990000
3 95 9648.990000
3 96 10188.090000
3 97 10053.130000
3 98 10240.990000
3 99 9988.060000
3 100 10130.510000
3 101 9649.280000
3 102 9509.900000
3 103 9641.760000
3 104 10147.520000
3 105 9883.000000
3 106 9611.250000
3 107 9844.350000
3 108 9598.710000
3 109 10141.650000
3 110 9188.260000
3 111 9510.710000
3 112 9803.090000
3 113 10112.200000
3 114 9729.560000
3 115 9363.090000
3 116 9534.180000
3 117 10467.160000
3 118 9881.920000
3 119 10060.690000
3 120 9693.920000
3 121 9346.250000
3 122 9980.550000
3 123 9376.160000
3 124 9367.560000
3 125 9854.400000
3 126 9813.670000
3 127 9743.660000
3 128 9633.140000
3 129 9230.290000
3 130 9470.250000
3 131 9651.870000
3 132 10136.210000
3 133 9767.380000
3 134 9732.450000
3 135 9928.020000
3 136 9331.640000
3 137 9310.930000
3 138 9771.720000
3 139 9836.590000
3 140 10057.070000
3 141 10370.990000
3 142 9619.590000
3 143 9883.210000
3 144 9965.580000
3 145 9503.360000
3 146 9433.380000
3 147 9816.560000
3 148 9782.690000
3 149 9027.060000
3 150 9578.810000
3 151 9608.690000
3 152 9723.370000
3 153 10289.910000
3 154 9533.410000
3 155 9528.010000
3 156 9296.780000
3 157 9747.630000
3 158 9627.300000
3 159 10212.290000
3 160 9798.200000
3 161 9951.460000
3 162 10520.240000
3 163 9907.580000
3 164 9960.940000
3 165 9993.860000
3 166 9447.610000
3 167 9440.740000
3 168 9591.260000
3 169 9879.560000
3 170 9193.820000
3 171 10292.050000
3 172 9540.710000
3 173 9681.660000
3 174 10688.620000
3 175 10136.540000
3 176 9946.310000
3 177 9657.310000
3 178 10007.470000
3 179 9504.180000
3 180 10097.440000
3 181 9955.990000
3 182 9553.140000
3 183 10062.310000
3 184 10185.260000
3 185 9944.050000
3 186 9897.650000
3 187 10104.780000
3 188 9825.980000
3 189 9932.320000
3 190 10050.830000
3 191 9737.110000
3 192 9662.060000
3 193 8797.670000
3 194 9764.010000
3 195 9907.060000
3 196 9640.380000
3 197 9489.460000
3 198 9944.870000
3 199 9830.320000
3 200 9572.540000
3 201 9546.110000
3 202 9864.300000
3 203 9562.110000
3 204 10229.090000
3 205 10312.210000
3 206 9647.840000
3 207 9520.740000
3 208 9775.250000
3 209 9352.420000
3 210 9727.590000
3 211 9935.660000
3 212 9846.430000
3 213 9982.110000
3 214 9898.360000
3 215 9474.120000
3 216 8890.870000
3 217 9445.950000
3 218 9917.650000
3 219 9473.670000
3 220 9759.790000
3 221 10124.250000
3 222 9032.590000
3 223 9741.940000
3 224 10034.850000
3 225 9785.400000
3 226 10224.130000
3 227 9169.710000
3 228 9822.010000
3 229 9172.260000
3 230 9970.630000
3 231 9638.540000
3 232 9904.880000
3 233 9905.160000
3 234 9194.030000
3 235 9645.730000
3 236 9578.430000
3 237 9425.730000
3 238 10109.850000
3 239 9550.130000
3 240 9788.560000
3 241 9807.470000
3 242 9991.020000
3 243 9733.010000
3 244 9788.040000
3 245 9445.320000
3 246 10031.590000
3 247 9651.600000
3 248 9548.010000
3 249 9978.050000
3 250 9473.790000
3 251 9605.570000
3 252 9395.370000
3 253 9809.550000
3 254 9973.520000
3 255 9725.090000
3 256 9894.200000
3 257 10219.130000
3 258 9696.690000
3 259 9534.810000
3 260 9446.020000
3 261 9732.440000
3 262 9669.930000
3 263 9175.860000
3 264 10081.550000
3 265 10435.200000
3 266 10130.110000
3 267 10127.530000
3 268 9563.440000
3 269 9731.860000
3 270 9682.740000
3 271 9947.980000
3 272 9959.670000
3 273 9955.290000
3 274 9975.520000
3 275 10136.610000
3 276 9505.730000
3 277 9834.140000
3 278 9880.780000
3 279 10359.290000
3 280 9424.820000
3 281 9199.320000
3 282 9555.010000
3 283 10331.670000
3 284 10429.840000
3 285 9603.430000
3 286 9999.470000
3 287 9613.310000
3 288 9906.650000
3 289 9625.340000
3 290 9936.390000
3 291 9262.150000
3 292 9451.810000
3 293 9962.040000
3 294 9978.950000
3 295 9412.080000
3 296 9836.660000
3 297 10246.380000
3 298 10352.030000
3 299 9899.930000
3 300 9691.440000
3 301 9859.730000
3 302 9633.270000
3 303 9800.630000
3 304 10016.340000
3 305 9181.240000
3 306 10189.660000
3 307 9377.270000
3 308 9472.380000
3 309 9798.040000
3 310 9877.210000
3 311 9498.240000
3 312 10119.690000
3 313 9665.730000
3 314 9764.300000
3 315 9653.570000
3 316 10249.350000
3 317 9559.460000
3 318 9338.870000
3 319 10142.080000
3 320 9396.690000
3 321 9979.580000
3 322 9464.090000
3 323 9466.190000
3 324 10155.830000
3 325 9142.420000
3 326 10426.920000
3 327 9991.910000
3 328 10334.070000
3 329 9082.940000
3 330 9301.950000
3 331 9698.560000
3 332 9331.290000
3 333 9568.680000
3 334 9711.580000
3 335 9475.770000
3 336 10405.410000
3 337 10099.950000
3 338 9892.930000
3 339 9227.680000
3 340 9365.920000
3 341 9689.390000
3 342 10238.440000
3 343 10176.790000
3 344 9446.810000
3 345 9801.930000
3 346 9878.010000
3 347 10133.180000
3 348 9998.390000
3 349 9643.350000
3 350 9841.400000
3 351 10443.880000
3 352 9916.930000
3 353 9473.380000
3 354 9244.670000
3 355 10100.030000
3 356 9917.290000
3 357 9244.550000
